transcript_id,gene_symbol,cell_type_of_origin,trait,timepoint,p_val_adj,avg_log2FC,canonical_status,tx_biotype
ENST00000311445,CNIH2,Deep Layer Projection Neurons,SCZ,1M,3.72217156128645e-48,2.1274624674142,canonical,protein_coding
ENST00000549578,VPS29,Preplate Neurons,SCZ,1M,1.23235887131127e-26,1.34173707920069,canonical,protein_coding
ENST00000376630,HLA-E,Cortical Hem Cells,SCZ,1M,6.90962106281362e-26,1.87840006175256,canonical,protein_coding
ENST00000355497,LMX1B,Cortical Hem Cells,SCZ,1M,1.49920211354706e-23,3.22790197859061,non-canonical,protein_coding
ENST00000308748,ASPHD1,Deep Layer Projection Neurons,SCZ,1M,3.35469799214623e-22,1.88080799164037,canonical,protein_coding
ENST00000463826,CCDC150,Apical Radial Glia (aRG) - Cycling,SCZ,1M,3.97507399689544e-21,2.90860435745696,non-canonical,retained_intron
ENST00000549578,VPS29,Cajal-Retzius Cells,SCZ,1M,2.89771316211797e-19,1.28756132509604,canonical,protein_coding
ENST00000291232,TNFRSF13C,Apical Radial Glia (aRG) - Cycling,SCZ,1M,3.85606623292084e-18,1.55054472334696,canonical,protein_coding
ENST00000549578,VPS29,Apical Radial Glia (aRG),SCZ,1M,1.20811828265408e-17,-1.58878050490631,canonical,protein_coding
ENST00000330062,IDH2,Apical Radial Glia (aRG) - Cycling,SCZ,1M,9.61274387171792e-17,0.824524399983233,canonical,protein_coding
ENST00000360579,VPS29,Apical Radial Glia (aRG) - Cycling,SCZ,1M,2.78421622467639e-15,1.0546753261342,non-canonical,protein_coding
ENST00000549578,VPS29,Deep Layer Projection Neurons,SCZ,1M,9.28381435393167e-15,0.89543090135107,canonical,protein_coding
ENST00000666342,LINC00461,Preplate Neurons,SCZ,1M,7.1983557636098e-14,1.2270221042738,non-canonical,lncRNA
ENST00000377918,PCDH17,Preplate Neurons,SCZ,1M,7.70709890619115e-14,1.59275806985506,canonical,protein_coding
ENST00000338128,ISYNA1,Cortical Hem Cells,SCZ,1M,1.23993430841933e-13,1.17844591512539,canonical,protein_coding
ENST00000422987,LRRN3,Deep Layer Projection Neurons,SCZ,1M,1.23554880965296e-11,1.35231935816033,non-canonical,protein_coding
ENST00000286953,ATP5MJ,Cajal-Retzius Cells,SCZ,1M,6.96251003812891e-11,0.62791865828961,canonical,protein_coding
ENST00000422987,LRRN3,Apical Radial Glia (aRG),SCZ,1M,1.16527843226125e-10,-3.05404420758142,non-canonical,protein_coding
