transcript_id,gene_symbol,cell_type_of_origin,trait,timepoint,p_val_adj,avg_log2FC
ENST00000360476,NMB,oRG to Astrocytes (Transitioning),BP,6M,4.22388082369421e-135,3.31082566915672
ENST00000320033,ARL4D,Interneurons,BP,6M,1.12602463268847e-118,2.53130115073215
ENST00000473961,BRCA1,oRG to Oligodendrocyte Progenitors (Transitioning),BP,6M,4.36033676476836e-76,4.46131057357904
ENST00000320033,ARL4D,oRG to Astrocytes (Transitioning),BP,6M,1.23985052412312e-43,-3.49096417828496
ENST00000249647,SNAP23,oRG to Astrocytes (Transitioning),BP,6M,2.04306031474613e-38,1.18542216824417
ENST00000530384,CCS,oRG to Astrocytes (Transitioning),BP,6M,9.19340664101651e-29,0.809399264531991
ENST00000427946,NCAPH,oRG to Oligodendrocyte Progenitors (Transitioning),BP,6M,1.92643003594513e-21,3.25273823378008
ENST00000360476,NMB,Interneurons,BP,6M,4.1229296495567e-21,-2.54599590422316
ENST00000534749,PITPNM1,oRG to Astrocytes (Transitioning),BP,6M,6.28632002148389e-18,0.793505580981557
ENST00000357137,XPNPEP3,oRG to Astrocytes (Transitioning),BP,6M,6.49056261056287e-15,0.263496518777732
ENST00000527370,PITPNM1,oRG to Astrocytes (Transitioning),BP,6M,1.37995551982594e-12,-0.164699811854872
ENST00000249647,SNAP23,Interneurons,BP,6M,3.55546613252242e-12,-0.743293745778405
ENST00000529582,LTBP3,oRG to Astrocytes (Transitioning),BP,6M,3.75650504355813e-10,0.97861647208429
ENST00000473961,BRCA1,Interneurons,BP,6M,1.64348074065259e-09,-2.84466437283832
ENST00000473961,BRCA1,Outer Radial Glia (oRG) - Cycling,BP,6M,6.3926616814268e-09,1.53722904532774
ENST00000323853,SNRNP200,oRG to Astrocytes (Transitioning),BP,6M,1.20975175092854e-08,0.238630849583219
ENST00000527370,PITPNM1,Interneurons,BP,6M,2.08950364539014e-08,-2.74369791847541
ENST00000534749,PITPNM1,Interneurons,BP,6M,3.44807778780262e-08,-2.02413383478245
ENST00000357137,XPNPEP3,Interneurons,BP,6M,3.78307512330757e-07,-0.401965922088966
ENST00000372889,PKIG,oRG to Astrocytes (Transitioning),BP,6M,5.44129911841696e-06,0.908842560272263
ENST00000360476,NMB,Callosal Projection Neurons (Upper Layer),BP,6M,9.23695211365772e-05,-2.0856757806862
ENST00000320033,ARL4D,Oligodendrocyte Progenitors,BP,6M,0.000116519825559673,-1.89538693483337
ENST00000323853,SNRNP200,Interneurons,BP,6M,0.000151222854904912,-0.218391902982932
ENST00000323853,SNRNP200,oRG to Oligodendrocyte Progenitors (Transitioning),BP,6M,0.0036296143636715,0.548206761196006
ENST00000512186,RASGRF2,Intermediate Progenitors (IP),BP,6M,0.017212377113257,5.68348026924438
ENST00000376757,SSH3,oRG to Astrocytes (Transitioning),BP,6M,0.020705550713649,1.35851399310795
ENST00000466900,MLH1,Interneurons,BP,6M,0.0211810193680216,-0.587411117959234
ENST00000320033,ARL4D,Callosal Projection Neurons (Upper Layer),BP,6M,0.0214289079209577,-1.4919259569567
ENST00000323853,SNRNP200,Callosal Projection Neurons (Upper Layer),BP,6M,0.0297285078094374,-0.676725048002059
