"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","gene_display"
1.94152472176137e-13,6.1576697636165,0.036,0.001,4.45898333698603e-08,"Interneurons","ENST00000780775.1-ENSG00000301682","ENST00000780775.1-ENSG00000301682"
7.80650088611874e-10,5.80737896417894,0.024,0,0.000179287221950957,"Interneurons","ENST00000780562.1-ENSG00000301653","ENST00000780562.1-ENSG00000301653"
6.78464863764546e-11,5.55714890635037,0.033,0.002,1.55818954471621e-05,"Interneurons","ENST00000756013.1-ENSG00000298502","ENST00000756013.1-ENSG00000298502"
1.19099119009169e-37,5.55565302653076,0.118,0.005,2.73527800681218e-32,"Interneurons","ENST00000471363.5-CACNA2D3","ENST00000471363.5-CACNA2D3-202"
4.99097526145848e-23,5.43893855331434,0.073,0.004,1.1462473424476e-17,"Interneurons","ENST00000647179.1-NA","ENST00000647179.1-SOX2-OT-288"
1.83397690325813e-08,5.42674556363751,0.022,0.001,0.00421198471509875,"Interneurons","ENST00000805206.1-ST8SIA5-DT","ENST00000805206.1-ST8SIA5-DT"
1.55426200907493e-16,5.3284075531242,0.051,0.003,3.56958030052185e-11,"Interneurons","ENST00000457380.5-RGN","ENST00000457380.5-RGN-204"
9.3398797509038e-40,5.21834381698577,0.14,0.011,2.14503414311157e-34,"Interneurons","ENST00000341267.9-DLK1","ENST00000341267.9-DLK1-202"
1.23084650260073e-12,5.07145643934262,0.04,0.003,2.82681131173295e-07,"Interneurons","ENST00000370621.7-EYS","ENST00000370621.7-EYS-204"
3.89072468931362e-19,4.9716430613382,0.093,0.016,8.93559395046524e-14,"Interneurons","ENST00000691318.2-SOX2-OT","ENST00000691318.2-SOX2-OT-314"
4.92221657185809e-27,7.38406964243505,0.055,0,1.13045594675922e-21,"Callosal Projection Neurons (Upper Layer)","ENST00000623157.2-PKN2-AS1","ENST00000623157.2-PKN2-AS1"
3.52607196835652e-19,6.62173895738212,0.038,0,8.09811792540632e-14,"Callosal Projection Neurons (Upper Layer)","ENST00000649240.1-ENSG00000285575","ENST00000649240.1-ENSG00000285575"
3.01164621145387e-15,6.47744542132367,0.03,0,6.91666715507341e-10,"Callosal Projection Neurons (Upper Layer)","ENST00000454085.2-RPL5P32","ENST00000454085.2-RPL5P32-201"
3.25282879299164e-17,6.43500188646921,0.034,0,7.47057671913631e-12,"Callosal Projection Neurons (Upper Layer)","ENST00000522996.5-TG","ENST00000522996.5-TG-217"
2.80475129419898e-13,6.30414588585402,0.026,0,6.44150401230914e-08,"Callosal Projection Neurons (Upper Layer)","ENST00000580650.1-AKAIN1","ENST00000580650.1-AKAIN1-202"
4.93261587042639e-90,6.15746804534798,0.243,0.006,1.13284429126561e-84,"Callosal Projection Neurons (Upper Layer)","ENST00000296498.3-PRSS12","ENST00000296498.3-PRSS12-201"
4.89083837855318e-17,6.15077638151309,0.038,0,1.12324950537204e-11,"Callosal Projection Neurons (Upper Layer)","ENST00000623934.1-ENSG00000279326","ENST00000623934.1-ENSG00000279326"
2.63648397966383e-11,6.12977517353846,0.021,0,6.05505456705515e-06,"Callosal Projection Neurons (Upper Layer)","ENST00000579735.1-ENSG00000265417","ENST00000579735.1-ENSG00000265417"
5.32919097188345e-21,6.07312206477784,0.051,0.001,1.22392331536664e-15,"Callosal Projection Neurons (Upper Layer)","ENST00000737195.1-NPSR1-AS1","ENST00000737195.1-NPSR1-AS1"
3.15110851866407e-11,6.06142583877812,0.026,0,7.23696186830465e-06,"Callosal Projection Neurons (Upper Layer)","ENST00000669398.2-PKN2-AS1","ENST00000669398.2-PKN2-AS1-212"
9.72890665123668e-25,8.25669615264118,0.049,0,2.23437961714962e-19,"Glutamatergic Neurons","ENST00000688777.1-ENSG00000289628","ENST00000688777.1-ENSG00000289628"
1.92503212938436e-93,7.98574929230034,0.262,0.007,4.42110578962929e-88,"Glutamatergic Neurons","ENST00000684874.1-ENSG00000289328","ENST00000684874.1-ENSG00000289328"
5.88270642114085e-17,7.87623348180402,0.038,0,1.35104588750489e-11,"Glutamatergic Neurons","ENST00000332374.5-MT1H","ENST00000332374.5-MT1H-201"
2.34953780505493e-52,7.24344368961974,0.153,0.005,5.39604250460134e-47,"Glutamatergic Neurons","ENST00000796222.1-ENSG00000303638","ENST00000796222.1-ENSG00000303638"
2.05594686155506e-14,7.22545460873235,0.027,0,4.72176980012181e-09,"Glutamatergic Neurons","ENST00000849347.1-ENSG00000310368","ENST00000849347.1-ENSG00000310368"
8.02384754057737e-12,7.12860014429007,0.022,0,1.84278892155916e-06,"Glutamatergic Neurons","ENST00000485770.2-PRICKLE2","ENST00000485770.2-PRICKLE2-202"
3.21005260403203e-09,7.10256990438377,0.016,0,0.000737233521252413,"Glutamatergic Neurons","ENST00000690023.1-DPP10-AS1","ENST00000690023.1-DPP10-AS1-207"
8.02384754057737e-12,7.09243203592187,0.022,0,1.84278892155916e-06,"Glutamatergic Neurons","ENST00000642665.1-HULC","ENST00000642665.1-HULC-211"
1.81790193897858e-58,7.09155505503631,0.142,0.002,4.17506630913577e-53,"Glutamatergic Neurons","ENST00000690687.1-ENSG00000289363","ENST00000690687.1-ENSG00000289363"
8.02384754057737e-12,6.99890649300514,0.022,0,1.84278892155916e-06,"Glutamatergic Neurons","ENST00000660339.2-LINC02653","ENST00000660339.2-LINC02653-202"
3.55339379909055e-32,6.79506744343115,0.076,0,8.16086633474332e-27,"oRG to Astrocytes (Transitioning)","ENST00000666097.1-ENSG00000287939","ENST00000666097.1-ENSG00000287939"
2.9197504623938e-59,6.79342242379303,0.145,0.001,6.70561570195211e-54,"oRG to Astrocytes (Transitioning)","ENST00000400256.5-COLEC12","ENST00000400256.5-COLEC12-201"
1.34478832705866e-20,6.48439416428903,0.048,0,3.08849466345599e-15,"oRG to Astrocytes (Transitioning)","ENST00000606794.2-APLNR","ENST00000606794.2-APLNR-202"
1.18954002203293e-17,6.14551551768102,0.046,0.001,2.73194519620171e-12,"oRG to Astrocytes (Transitioning)","ENST00000395388.7-HLA-DRA","ENST00000395388.7-HLA-DRA-202"
1.56429468755153e-27,6.01343003003003,0.065,0,3.59262175121835e-22,"oRG to Astrocytes (Transitioning)","ENST00000532655.1-MTCO2P15","ENST00000532655.1-MTCO2P15-201"
6.92628949452382e-30,5.75151946342978,0.076,0.001,1.59071935047032e-24,"oRG to Astrocytes (Transitioning)","ENST00000506191.1-CD38","ENST00000506191.1-CD38-203"
3.19447952689391e-72,5.63425236305147,0.189,0.003,7.33656946064563e-67,"oRG to Astrocytes (Transitioning)","ENST00000487113.1-EPCIP","ENST00000487113.1-C21orf62-203"
1.08579608011167e-18,5.59143612735376,0.046,0.001,2.49368270942766e-13,"oRG to Astrocytes (Transitioning)","ENST00000009530.13-CD74","ENST00000009530.13-CD74-201"
1.51437036461844e-182,5.56108504952726,0.534,0.035,3.4779635541973e-177,"oRG to Astrocytes (Transitioning)","ENST00000220166.10-CTSH","ENST00000220166.10-CTSH-201"
3.40763571506871e-37,5.44327412332205,0.092,0.001,7.8261124886554e-32,"oRG to Astrocytes (Transitioning)","ENST00000471664.1-NA","ENST00000471664.1-GLIS3-210"
6.15452276178529e-47,6.75176102076322,0.16,0.006,1.41347231556266e-41,"Intermediate Progenitors (IP)","ENST00000409343.5-ZNF385B","ENST00000409343.5-ZNF385B-202"
4.31100322759838e-33,6.71624143343877,0.093,0.002,9.90082245263155e-28,"Intermediate Progenitors (IP)","ENST00000388918.10-TYRP1","ENST00000388918.10-TYRP1-203"
4.40727268082704e-11,6.54751391377416,0.02,0,1.01219187296946e-05,"Intermediate Progenitors (IP)","ENST00000448484.5-BCAS1","ENST00000448484.5-BCAS1-204"
4.241860255482e-29,6.52560775919376,0.08,0.002,9.74202593715018e-24,"Intermediate Progenitors (IP)","ENST00000579651.1-ENSG00000264705","ENST00000579651.1-ENSG00000264705"
1.33611935696885e-17,6.45912784744899,0.04,0,3.06858515998894e-12,"Intermediate Progenitors (IP)","ENST00000242994.4-NEUROD4","ENST00000242994.4-NEUROD4-201"
1.87924844392294e-09,6.38966648769173,0.027,0.001,0.000431595714625119,"Intermediate Progenitors (IP)","ENST00000795269.1-ENSG00000303525","ENST00000795269.1-ENSG00000303525"
2.72836654640784e-18,6.23607828693905,0.047,0.001,6.26607574514211e-13,"Intermediate Progenitors (IP)","ENST00000418445.1-SDAD1P4","ENST00000418445.1-SDAD1P4-201"
2.53424417374611e-16,6.22793253984063,0.047,0.001,5.82024653919226e-11,"Intermediate Progenitors (IP)","ENST00000397033.7-ITGA4","ENST00000397033.7-ITGA4-203"
7.49459084282125e-08,6.14266968955745,0.013,0,0.017212377113257,"Intermediate Progenitors (IP)","ENST00000566678.1-NUP93","ENST00000566678.1-NUP93-212"
7.49459084282125e-08,6.13787900720041,0.013,0,0.017212377113257,"Intermediate Progenitors (IP)","ENST00000481037.5-RBM39","ENST00000481037.5-RBM39-232"
0,8.13098296905711,0.8,0.008,0,"Outer Radial Glia (oRG) - Cycling","ENST00000268043.8-PIF1","ENST00000268043.8-PIF1-201"
0,8.10960779825327,0.752,0.008,0,"Outer Radial Glia (oRG) - Cycling","ENST00000559239.2-PIF1","ENST00000559239.2-PIF1-205"
2.16179736605027e-242,8.09554740209589,0.533,0.002,4.9648703027657e-237,"Outer Radial Glia (oRG) - Cycling","ENST00000560504.1-PIF1","ENST00000560504.1-PIF1-209"
5.69158557446893e-48,7.38239476446808,0.095,0,1.30715230937483e-42,"Outer Radial Glia (oRG) - Cycling","ENST00000442280.1-SEPTIN14P12","ENST00000442280.1-SEPTIN14P12-201"
1.09345134568749e-148,6.62778321559988,0.381,0.005,2.51126409855972e-143,"Outer Radial Glia (oRG) - Cycling","ENST00000551245.5-TROAP","ENST00000551245.5-TROAP-215"
8.75484185276947e-39,6.5781280253923,0.086,0,2.01067199927445e-33,"Outer Radial Glia (oRG) - Cycling","ENST00000736481.1-ENSG00000296113","ENST00000736481.1-ENSG00000296113"
1.7325416593013e-94,6.50884637765366,0.381,0.017,3.97902447641774e-89,"Outer Radial Glia (oRG) - Cycling","ENST00000395915.8-AURKA","ENST00000395915.8-AURKA-208"
2.02842004946413e-29,6.45088836996306,0.057,0,4.6585506224013e-24,"Outer Radial Glia (oRG) - Cycling","ENST00000560042.1-KIF23","ENST00000560042.1-KIF23-211"
3.89871377162757e-20,6.40869289712488,0.038,0,8.95394199647075e-15,"Outer Radial Glia (oRG) - Cycling","ENST00000420065.5-RHEBL1","ENST00000420065.5-RHEBL1-202"
4.75098683010112e-140,6.39039277829381,0.981,0.14,1.09113063934834e-134,"Outer Radial Glia (oRG) - Cycling","ENST00000367409.9-ASPM","ENST00000367409.9-ASPM-203"
2.07621442926013e-23,7.17842975374829,0.046,0,4.76831710681599e-18,"Oligodendrocyte Progenitors","ENST00000809843.1-NA","ENST00000809843.1-NA"
2.07621442926013e-23,7.09910006146693,0.046,0,4.76831710681599e-18,"Oligodendrocyte Progenitors","ENST00000244728.10-COL21A1","ENST00000244728.10-COL21A1-201"
7.01863690032501e-11,6.81294939198053,0.02,0,1.61192822507624e-05,"Oligodendrocyte Progenitors","ENST00000463821.3-RN7SL168P","ENST00000463821.3-RN7SL168P-201"
1.02513220756012e-07,6.77802233238861,0.013,0,0.0235435963317088,"Oligodendrocyte Progenitors","ENST00000252242.9-KRT5","ENST00000252242.9-KRT5-201"
7.01863690032501e-11,6.63982650773905,0.02,0,1.61192822507624e-05,"Oligodendrocyte Progenitors","ENST00000774218.1-EFHD2-AS1","ENST00000774218.1-EFHD2-AS1"
1.02513220756012e-07,6.57183945662574,0.013,0,0.0235435963317088,"Oligodendrocyte Progenitors","ENST00000302945.3-GSX1","ENST00000302945.3-GSX1-201"
3.3351808901652e-14,6.21918383927815,0.033,0,7.659709839589e-09,"Oligodendrocyte Progenitors","ENST00000516512.1-NA","ENST00000516512.1-RN7SKP83-201"
7.01863690032501e-11,6.08970499015517,0.02,0,1.61192822507624e-05,"Oligodendrocyte Progenitors","ENST00000624049.1-ENSG00000278971","ENST00000624049.1-ENSG00000278971"
1.02513220756012e-07,6.02833129061213,0.013,0,0.0235435963317088,"Oligodendrocyte Progenitors","ENST00000471157.2-CDKN1C","ENST00000471157.2-CDKN1C-205"
7.01863690032501e-11,6.02180869902216,0.02,0,1.61192822507624e-05,"Oligodendrocyte Progenitors","ENST00000548884.5-NR1H4","ENST00000548884.5-NR1H4-206"
2.02894023298678e-25,6.06988077325946,0.057,0,4.65974529668676e-20,"oRG to Oligodendrocyte Progenitors (Transitioning)","ENST00000807750.1-MIR924HG","ENST00000807750.1-MIR924HG"
2.28892586643333e-16,5.94386997249446,0.032,0,5.25683870188545e-11,"oRG to Oligodendrocyte Progenitors (Transitioning)","ENST00000824244.1-NA","ENST00000824244.1-NA"
1.01104394873224e-219,5.71516102054253,0.611,0.022,2.32200397441641e-214,"oRG to Oligodendrocyte Progenitors (Transitioning)","ENST00000396863.8-MYBL2","ENST00000396863.8-MYBL2-202"
4.21589349216462e-18,5.71321497567621,0.045,0.001,9.68238962984496e-13,"oRG to Oligodendrocyte Progenitors (Transitioning)","ENST00000524629.1-NA","ENST00000524629.1-GLYATL1-204"
1.67329858137892e-14,5.61956984912299,0.036,0.001,3.84296445393809e-09,"oRG to Oligodendrocyte Progenitors (Transitioning)","ENST00000669520.1-MIR924HG","ENST00000669520.1-MIR924HG-249"
