"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.11811456586301e-33,5.86758908531728,0.111,0.007,1.86509408687936e-28,"Interneurons","ENSG00000293117.2-ENSG00000293117"
5.7661084017787e-08,5.80414650080615,0.021,0.001,0.00261147049516557,"Interneurons","ENSG00000304402.1-ENSG00000304402.1"
8.4627633015737e-33,5.66853076937845,0.102,0.004,3.83278549928273e-28,"Interneurons","ENSG00000226939.2-ENSG00000226939"
1.67477396170016e-44,5.53615116457379,0.343,0.128,7.58505127254e-40,"Interneurons","ENSG00000189108.14-IL1RAPL2"
3.47508939373107e-08,5.43599355466131,0.024,0.001,0.0015738679864208,"Interneurons","ENSG00000253656.2-ENSG00000253656"
3.81534051071444e-49,5.25095942210143,0.181,0.017,1.72796771730257e-44,"Interneurons","ENSG00000259070.10-LINC00639"
1.60906373685199e-21,5.23347130890935,0.065,0.003,7.28744966420267e-17,"Interneurons","ENSG00000308412.1-ENSG00000308412"
3.5510358646996e-54,5.20025895383261,0.203,0.021,1.60826414312245e-49,"Interneurons","ENSG00000147459.18-DOCK5"
4.62324947927422e-21,5.16825642323233,0.059,0.001,2.0938696891633e-16,"Interneurons","ENSG00000306858.1-ENSG00000306858.1"
7.77426566004767e-09,5.13168891897481,0.021,0,0.000352096491743559,"Interneurons","ENSG00000237013.2-LINC01812"
1.3312475875463e-56,7.46249431470367,0.119,0,6.02922032399718e-52,"Callosal Projection Neurons (Upper Layer)","ENSG00000298794.1-ENSG00000298794"
5.30104977722812e-108,7.0548008846838,0.328,0.014,2.40084544410662e-103,"Callosal Projection Neurons (Upper Layer)","ENSG00000197085.12-NPSR1-AS1"
1.33251295549877e-35,6.83214332055255,0.098,0.003,6.03495117545392e-31,"Callosal Projection Neurons (Upper Layer)","ENSG00000254599.2-ENSG00000254599.2"
3.8302007004626e-21,6.66495421825975,0.043,0,1.73469789723951e-16,"Callosal Projection Neurons (Upper Layer)","ENSG00000306141.1-ENSG00000306141.1"
1.73165964968362e-137,6.33245765065581,0.387,0.013,7.84268655341712e-133,"Callosal Projection Neurons (Upper Layer)","ENSG00000164099.3-PRSS12"
8.837570018443e-53,6.26862997126539,0.136,0.003,4.00253546135284e-48,"Callosal Projection Neurons (Upper Layer)","ENSG00000276961.1-ENSG00000276961.1"
3.4682892933776e-50,6.26527336216492,0.119,0.001,1.57078822097071e-45,"Callosal Projection Neurons (Upper Layer)","ENSG00000307321.1-ENSG00000307321.1"
8.21129555054477e-27,6.09569353325372,0.064,0.001,3.71889575484172e-22,"Callosal Projection Neurons (Upper Layer)","ENSG00000242614.3-ENSG00000242614.3"
3.25282879299164e-17,6.01467810656023,0.034,0,1.47320616034591e-12,"Callosal Projection Neurons (Upper Layer)","ENSG00000310353.1-ENSG00000310353.1"
4.85332277548014e-17,5.93839447925233,0.038,0,2.19806988501496e-12,"Callosal Projection Neurons (Upper Layer)","ENSG00000287272.2-ENSG00000287272"
1.07282259244487e-107,7.7720581306853,0.443,0.034,4.85881352118281e-103,"Glutamatergic Neurons","ENSG00000303638.1-ENSG00000303638"
5.82645572883991e-17,7.62031818869759,0.038,0,2.63880179959159e-12,"Glutamatergic Neurons","ENSG00000205358.4-MT1H"
2.6121898060414e-84,7.52378475605912,0.197,0.002,1.18306076315615e-79,"Glutamatergic Neurons","ENSG00000310281.1-ENSG00000310281"
2.11375497695692e-89,7.25343558943299,0.372,0.028,9.57319629063787e-85,"Glutamatergic Neurons","ENSG00000310368.1-ENSG00000310368"
6.60388390435635e-12,7.23448697913092,0.027,0,2.99089902028299e-07,"Glutamatergic Neurons","ENSG00000267659.6-LINC01482"
2.10928013683787e-60,7.06383334112131,0.175,0.005,9.55292973973873e-56,"Glutamatergic Neurons","ENSG00000296578.1-ENSG00000296578"
3.61570274007134e-98,7.00187961081227,0.361,0.021,1.63755177097831e-93,"Glutamatergic Neurons","ENSG00000306888.1-ENSG00000306888"
6.81644801742869e-91,6.91124247962616,0.257,0.007,3.08716930709346e-86,"Glutamatergic Neurons","ENSG00000230014.2-LINC00709"
1.2912343567412e-24,6.84205966186496,0.055,0,5.84800040168091e-20,"Glutamatergic Neurons","ENSG00000233308.3-OSTN-AS1"
2.83465986530509e-43,6.83471387818462,0.109,0.002,1.28381745299668e-38,"Glutamatergic Neurons","ENSG00000254202.3-ENSG00000254202"
2.44176836203174e-90,6.59652667952231,0.24,0.006,1.10587689116417e-85,"oRG to Astrocytes (Transitioning)","ENSG00000158270.12-COLEC12"
5.47366178504493e-26,6.02152548326853,0.061,0,2.47902142244685e-21,"oRG to Astrocytes (Transitioning)","ENSG00000296474.1-ENSG00000296474"
3.89484184727892e-22,6.01079536034001,0.052,0,1.76397387263262e-17,"oRG to Astrocytes (Transitioning)","ENSG00000134817.12-APLNR"
2.65692108638588e-74,5.79147900257696,0.189,0.002,1.20331956002417e-69,"oRG to Astrocytes (Transitioning)","ENSG00000301923.1-ENSG00000301923"
1.89715337157755e-45,5.63804767601313,0.122,0.003,8.59220761987471e-41,"oRG to Astrocytes (Transitioning)","ENSG00000289884.2-ENSG00000289884"
1.18924081373214e-76,5.58469903880982,0.216,0.007,5.38607164539285e-72,"oRG to Astrocytes (Transitioning)","ENSG00000166106.4-ADAMTS15"
3.73009364452657e-50,5.52582008544878,0.126,0.001,1.68935941160608e-45,"oRG to Astrocytes (Transitioning)","ENSG00000253138.6-LINC00967"
2.67700641537192e-64,5.41938100484866,0.221,0.017,1.21241620552194e-59,"oRG to Astrocytes (Transitioning)","ENSG00000108691.10-CCL2"
1.12420823357293e-23,5.40514209927119,0.055,0,5.09153908985182e-19,"oRG to Astrocytes (Transitioning)","ENSG00000302603.1-ENSG00000302603"
3.19819856048153e-22,5.3991235342456,0.057,0.001,1.44846412804208e-17,"oRG to Astrocytes (Transitioning)","ENSG00000081041.9-CXCL2"
4.86191377037504e-46,6.98674801690941,0.1,0,2.20196074660286e-41,"Intermediate Progenitors (IP)","ENSG00000248528.2-LINC02058"
2.30205340204586e-47,6.78512816584885,0.12,0.002,1.04259998578657e-42,"Intermediate Progenitors (IP)","ENSG00000248588.3-ENSG00000248588"
8.48938378144732e-50,6.57122177466097,0.12,0.001,3.84484191461749e-45,"Intermediate Progenitors (IP)","ENSG00000295462.1-ENSG00000295462.1"
4.52096766153824e-36,6.43438743949308,0.1,0.002,2.04754625391067e-31,"Intermediate Progenitors (IP)","ENSG00000299637.1-ENSG00000299637"
4.40727268082704e-11,5.97019799088205,0.02,0,1.99605379714657e-06,"Intermediate Progenitors (IP)","ENSG00000295610.1-ENSG00000295610.1"
